sentence id,text,sentiment,topic
7687,"This is a look at an all too possible future for the US and the world in general.  I've just started the sequel which promises to be just as riveting.  I love post apocalyptic stories and dystopian stories and when you add in the top level government conspiracy....  Well, what more can you ask?",positive,book
8263,"Greg McKenzie is a guy who could be your neighbor. He works, he loves his wife and accompanies her to church. He's trying to quit smoking, hold his temper and not swear too much.Then suddenly, just home from a church-sponsored trip to the Holy Land, he and his wife, Jill, find themselves in the middle of a situation that could ignite World War 3.The plot reminds me somewhat of Hitchcock's Man Who Knew Too Much. The stories aren't the same, but there's that same tension and consequences for a character thrust into a situation involving a foreign culture and a place outside his normal life.Campbell builds the reader's sympathy for Greg and Jill McKenzie--they're a likeable couple, one we'd enjoy spending time with--and you want to see them get out of this dire situation.There's plenty of action as Greg, a man with a background in law enforcement, races against time to rescue his wife and avert an international tragedy. It keeps the reader flipping pages. We want to know what happens next and how they're going to be reunited.This was the first in a series and a good place to start if you're unfamiliar with Campbell's work. Good characterization, smooth plotting and even a touch of humor.",positive,book
5390,"I probably wouldn't have bought this book if it hadn't been listed for $.99, but I'm so glad I gave it a chance! It was worth every penny and now I want to read all the other books in the series. Chase Dagger, Sara and Einstein make a great detective team with good character development and budding chemistry, and the mystery was a fun page turner, if a tad predictable. Slight spoiler - while I'm a tad creeped out by the age difference (he's 35, she's 18) I'm hoping the author will give her a few years to grow up before taking the storyline that way. Can we get all of these on Kindle please?",positive,book
5889,"Great book. Second book of Jennie Lucas that I have read, and I have liked them both. This book has all the greats, romance,fights, turmoil, and then the love. The author is great I can't wait to find more of hers!",positive,book
4220,"Jaci Burton never disappoints, Great story, awesome characters. Sexy story. Couldnt put it down til it was done. Love a book with a little kink! After unwrapped, dont miss &#34;Unraveled&#34; by Jaci Burton!! Quick read with great stories, keeps me coming back for more!",positive,book
1447,Markhat is just a fun universe. I like the main character and the easy way I could slip into that universe and not miss a beat.,positive,book
69,OMG !!! If you love humans that love to have a good test thenyou should totally read this book!!! 5 stars all the way baby!!!!,positive,book
373,"I like short stories such as these, that are brutalin their simplicity and smack you right between theeyes, no mucking about with back story that putyou on the somnabulent elevator.Twilight Zone on steroids baybuh!",positive,book
1308,"If you like the Cedar Cove Series on Hallmark, you will like the books.  They have picked up several topics from the books.",positive,book
7930,It's nice to have an old stanby.  Stories still absorbing  Short enough to be read in less than an hour.  Variety good,positive,book
5184,"I got this omnibus for 95 cents in a limited offer. I am so glad! As far as I know, all the books are present and accounted for. The format is easy to read, with a linked table of contents so you can jump to anywhere. The only thing I noticed is that the type changes occasionally.",positive,book
4447,"I love this story..it's so touching, beautiful & fulfilling. Thank you Ms McCray for sharing such a beautiful love story.",positive,book
11392,"Pete Toleffson is in Konigsburg, Texas because his brother Cal has finally convinced his fiance Docia to have a wedding ceremony. He's Cal's best man, but he has no idea what a best man is supposed to do, exactly. He's pretty sure he's not supposed to punch his brother, but the impulse is there every time he catches sight of Calthorpe's ever-present and perpetually satisfied grin. It's not that Pete begrudges his brother's happiness, but Pete's in a strange town full of stranger people and ragged from his job as a county attorney - a job that he tends to obsess over...to the point that he can't remember the last time he took a vacation. Staying away from his email and voicemail while he's in Konigsburg takes conscious intensive effort, and he could buy stock in the antacid company that keeps his acid reflux in check. Supporting his brother through The Wedding from hell might just be his undoing.If sheer force of will and hard work can make The Wedding go as planned, Janie Dupree's life would be a lot less complicated. Unfortunately, everything about The Wedding seems destined to a calamitous end despite all her efforts and the best man is absolutely no help. Not to mention, he's rude. Cute though. But Janie's seeing someone...sort of...even if he is boring and self-involved. And then there's The Wedding, which is taking every single ounce of self control and mental fortitude to deal with.Just when Pete is starting to relax, and starting to more than notice Janie and even step up a little in his best man role, Toleffsons start to pour into Konigsburg and it becomes painfully clear that the town is definitely not big enough for all of them. Neither Pete nor Janie would put money on surviving The Wedding intact.Since stumbling acrossVenus in Blue Jeans: Konigsburg, Texas Book 1when it was offered as a free Kindle download on Amazon.com, I've become totally addicted to the town and inhabitants of Konigsburg, Texas, and thoroughly pleased with Meg Benjamin as an author. With a smooth, crisp writing style that highlights the strength of the series - the quirky characters that populate Konigsburg - and makes the narrative flow surprisingly well with whatever crazy situations those characters find themselves, Benjamin has a gem of a series on her hands. As I was withVenus in Blue Jeans, I was surprised and impressed with just how quick and fun a read Wedding Bell Blues is, and credit the author for both the fluidity of the narrative and the charm of the characters and setting.I liked Pete and Janie - perhaps not quite as much as Cal and Docia, but still they were a pleasure to read about. I don't think Pete's character was quite as well developed in the beginning of this book as Cal's had been in his, so the evolution of Pete's character from sourpuss jerk to nice guy was a bit subtle, but I enjoyed the results all the same. The Wedding is a good foil for the book, though the insular nature of wedding preparations did slightly diminish the role of the town and townspeople as the forces of nature they were in the first book. What it provided, however, was a surprisingly realistic and occasionally tragic conflict with the Toleffson and Dupree families' dynamic.There was little smooth about that dynamic. With one brother whose wife is a vapid trollop with the maternal instinct most cobras would envy, a mother who disapproves of everything and anything, and an eldest brother with far too much bad history to forgive, Pete's family was pretty much nightmarish. I didn't much care for the mother or the sister-in-law, but thought it was great storytelling. Janie's got some conflict with her mother over the guy she's seeing and she allows herself to be a bit of a doormat in a couple of places when being nice didn't serve her very well, but I actually know people just like her so there was definitely a sense of realism to her character.As much as I wish a couple of the less than pleasant people in the book got more of a comeuppance, I appreciated the story as a whole and was thrilled to see the direction it's taking. I had a bit of an issue in the previous book with the speed with which Cal and Docia got together, and for my personal preferences, the relationship between Pete and Janie developed in a far more pleasing time frame, right up until the end. There was a massive leap in development towards the end that seemed abrupt and precipitous, but overall I enjoyed the entirety of their relationship.I thinkVenus in Blue Jeanswas a bit more quirky in both character and story, and just a touch more charming because of it, but Wedding Bell Blues was a more complex tale that provided more depth with the familial issues and in my personal opinion, was more realistic with an overall better plot. I've become a huge fan of Benjamin and this series and am looking forward to continuing withBe My Baby: Konigsburg, Texas, Book 3. I've enjoyed the Toleffsons and love the town and people of Konigsburg. I can't wait to return. 4.5 Stars.Originally reviewed for One Good Book Deserves Another.",positive,book
4740,I love the whole two sides of the same coin conflict happening and the whole fighting for your man ..very good read give it a go,positive,book
1139,"It made me laugh.  I have enjoyed all her books, each one is different, some writers just change the location and characters but use the same story, not with her books.  When you start reading the book you don't want to put it down.",positive,book
6953,"This fabulously written book drew me in.  Miranda's a little like the wife in the movie True Lies, she lives simply to take care of her husband the lightkeeper, and her two boys.  But she loves deeply, and she takes action when her husband disappears. She is naive and finds herself in a foreign world with the only resource of herself to rely upon.  She stumbles around not knowing what a morass she has placed herself into. Nothing is at it seems. She can't tell the good guys from the bad guys. This character development and plot is a study of subtlety. There is enough suspense and mystery to intrigue the reader to stick with Miranda. I love Miranda. I love devoted mothers and wives.  I really love that this author made the power of love be the guiding motivation for our heroine.  This is not an action genre book.  Which makes it all the more delicious.  This is a real life fantasy, sci-fi, magic story that you can't quite pin anywhere.  The writing is superb.  The reviewers who didn't like this book are probably needing 'in your face' stimulation that is fast and dramatic. This is a book to be savored and tasted. It's like engaging in high tea with Devon cream and croissants. You soak in the ambiance, smell the salt air, skirt the garbage and stay alert to being followed.  This is the most courageous of heroines because she diligently continues her search with her inadequate knowledge. She pieces together the mystery of her husband. She continues on in the face of complete unknowing - which is one of the greatest challenges we each face in our own world. She continues on even when everything she knows turns upside down. This book is a bestseller for a reason.  It is an amazing book.  I can not recommend it highly enough.",positive,book
476,"For those who haven't yet read the Grimm's Tales but have only heard about them, please take time to sit down and see what the age of fairy tale telling produced in its early days. From these we have the basis for many modern day tales that are written.",positive,book
11056,This is just what I have been looking for and I love it very much.  I would recommend these people to every one,positive,book
6222,"We have enjoyed reading H. Beam Piper's books, and then found this book of his combined works, and purchased it so we can enjoy reading (or re-reading) his writings!",positive,book
7969,I love this series. All of them are interesting and makes me feel like the people are real and this is a town I would want to live in.,positive,book
11980,great read from beginning to end. the characters come alive for the reader. can't wait to read the rest of the Westmoreland series.,positive,book
2593,"This story is a short story out of a larger book from Stephen King's son.  It is a nice quick read and if you like this short story, check out the rest of the stories.  Some are better than others but all were really good.",positive,book
137,I have enjoyed all the Henry Wright mysteries. The plots are good and they are well written. I would recommend it.,positive,book
5568,This was a sexy new twist to the age old story of beauty and the beast. Each character was nicely done and the story moved at a fast well written pace.,positive,book
11025,I liked this story it was unique and different from any story I have read. I wish it was longer but maybe that was the intent. Enjoy.,positive,book
1151,"This is what romance is all about loved this story, a few spelling errors but you lost nothing of the story. I give this book 10 stars wish it would have been longer",positive,book
